name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LG1	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG2	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG3	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG4	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG5	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG6	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG7	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG8	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG9	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG10	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG11	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG12	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG13	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG14	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG15	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG16	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG17	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG18	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG19	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG20	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG21	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG22	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG23	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG24	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG25	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG26	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG27	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG28	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG29	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG30	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG31	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LG32	ECOG	V	n/a	n/a	LG	1000	strip	n/a
LTT1	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LTT2	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LTT3	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LTT4	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LTT5	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LTT6	ECOG	V	n/a	n/a	LTT	1000	strip	n/a
LAST1	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST2	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST3	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST4	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LMST1	ECOG	V	n/a	n/a	LMST	1000	strip	n/a
LMST2	ECOG	V	n/a	n/a	LMST	1000	strip	n/a
LMST3	ECOG	V	n/a	n/a	LMST	1000	strip	n/a
LMST4	ECOG	V	n/a	n/a	LMST	1000	strip	n/a
LPST1	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST2	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST3	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST4	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPPST1	ECOG	V	n/a	n/a	LPPST	1000	strip	n/a
LPPST2	ECOG	V	n/a	n/a	LPPST	1000	strip	n/a
LPPST3	ECOG	V	n/a	n/a	LPPST	1000	strip	n/a
LPPST4	ECOG	V	n/a	n/a	LPPST	1000	strip	n/a
LPLT1	ECOG	V	n/a	n/a	LPLT	1000	strip	n/a
LPLT2	ECOG	V	n/a	n/a	LPLT	1000	strip	n/a
LPLT3	ECOG	V	n/a	n/a	LPLT	1000	strip	n/a
