name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LA1-LA2	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA2-LA3	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA3-LA4	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA4-LA5	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA5-LA6	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA6-LA7	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA7-LA8	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA8-LA9	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA9-LA10	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA10-LA11	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LA11-LA12	SEEG	V	n/a	n/a	bipolar	LA	500	depth	n/a
LHH1-LHH2	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH2-LHH3	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH3-LHH4	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH4-LHH5	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH5-LHH6	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH6-LHH7	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH7-LHH8	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH8-LHH9	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH9-LHH10	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH10-LHH11	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHH11-LHH12	SEEG	V	n/a	n/a	bipolar	LHH	500	depth	n/a
LHB1-LHB2	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB2-LHB3	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB3-LHB4	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB4-LHB5	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB5-LHB6	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB6-LHB7	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB7-LHB8	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB8-LHB9	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB9-LHB10	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB10-LHB11	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB11-LHB12	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LHB12-LHB13	SEEG	V	n/a	n/a	bipolar	LHB	500	depth	n/a
LPBT1-LPBT2	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT2-LPBT3	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT3-LPBT4	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT4-LPBT5	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT5-LPBT6	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT6-LPBT7	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT7-LPBT8	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT8-LPBT9	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT9-LPBT10	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT10-LPBT11	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT11-LPBT12	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT12-LPBT13	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LPBT13-LPBT14	SEEG	V	n/a	n/a	bipolar	LPBT	500	depth	n/a
LTO1-LTO2	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO2-LTO3	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO3-LTO4	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO4-LTO5	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO5-LTO6	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO6-LTO7	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO7-LTO8	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO8-LTO9	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO9-LTO10	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO10-LTO11	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO11-LTO12	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LTO12-LTO13	SEEG	V	n/a	n/a	bipolar	LTO	500	depth	n/a
LAC1-LAC2	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC2-LAC3	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC3-LAC4	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC4-LAC5	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC5-LAC6	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC6-LAC7	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LAC7-LAC8	SEEG	V	n/a	n/a	bipolar	LAC	500	depth	n/a
LPC1-LPC2	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC2-LPC3	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC3-LPC4	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC4-LPC5	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC5-LPC6	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC6-LPC7	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC7-LPC10	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC10-LPC11	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC11-LPC12	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC12-LPC13	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC13-LPC14	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC14-LPC15	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPC15-LPC16	SEEG	V	n/a	n/a	bipolar	LPC	500	depth	n/a
LPTI1-LPTI2	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI2-LPTI3	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI3-LPTI4	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI4-LPTI5	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI5-LPTI6	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI6-LPTI7	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI7-LPTI8	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI8-LPTI9	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LPTI9-LPTI10	SEEG	V	n/a	n/a	bipolar	LPTI	500	depth	n/a
LFI1-LFI2	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI2-LFI3	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI3-LFI4	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI4-LFI5	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI5-LFI6	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI6-LFI7	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI7-LFI8	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI8-LFI9	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
LFI9-LFI10	SEEG	V	n/a	n/a	bipolar	LFI	500	depth	n/a
RF1-RF2	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF2-RF3	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF3-RF4	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF4-RF5	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF5-RF6	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF6-RF7	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RF7-RF8	SEEG	V	n/a	n/a	bipolar	RF	500	depth	n/a
RT1-RT2	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT2-RT3	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT3-RT4	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT4-RT5	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT5-RT6	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT6-RT7	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT7-RT8	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT8-RT9	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT9-RT10	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT10-RT11	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
RT11-RT12	SEEG	V	n/a	n/a	bipolar	RT	500	depth	n/a
