name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z
AT1	-20.4769	14.1815	-45.7396680965689	-999	AT	L	strip	-21.5227	4.2479	-37.6718
AT5	-47.2394	26.8084	-29.313906442062	-999	AT	L	strip	-44.7445	20.191	-22.6291
AT3	-29.0581	28.1145	-38.6221914844006	-999	AT	L	strip	-25.4674	20.1214	-27.5502
AT4	-39.2516	29.0285	-35.0420311459488	-999	AT	L	strip	-34.6213	23.4339	-24.1036
AT2	-23.8144	22.3145	-44.8503740140728	-999	AT	L	strip	-20.6271	13.232	-32.194
LAF6	-45.4006	-20.0795	63.8680742679774	-999	LAF	L	strip	-41.3605	-14.189	61.1379
AT7	-61.8269	12.4558	-26.0765495716598	-999	AT	L	strip	-58.37	3.11363	-19.8666
AT8	-65.912	-0.272634	-20.201384620962	-999	AT	L	strip	-62.0407	-6.53963	-16.8708
AST1	-28.9188	20.3241	-48.4498035871856	-999	AST	L	strip	-25.4893	13.9789	-35.7861
AST2	-37.262	14.315	-51.600538210522	-999	AST	L	strip	-34.4824	9.24041	-37.7698
AST3	-48.1751	10.2661	-47.3657674198702	-999	AST	L	strip	-42.3512	3.20236	-37.9806
AST4	-56.2257	5.07783	-42.9359252883128	-999	AST	L	strip	-51.3166	-2.45671	-33.8704
PST1	-39.473	-5.26044	-50.7626825219502	-999	PST	L	strip	-36.4552	-9.62141	-39.4878
PST2	-50.4349	-7.39754	-46.7987586339884	-999	PST	L	strip	-46.2935	-11.2544	-35.7086
PST3	-58.7939	-7.40861	-38.1936244548267	-999	PST	L	strip	-53.335	-12.9431	-29.078
PST4	-65.2833	-6.60171	-29.1275188705582	-999	PST	L	strip	-58.006	-11.6359	-20.1202
PT1	-54.6185	-70.7087	29.1311161551027	-999	PT	L	strip	-56.9385	-71.5688	19.6599
PT2	-66.0614	-56.5894	4.76295724086493	-999	PT	L	strip	-60.8523	-64.9739	12.1103
PT3	-71.7512	-44.7377	-7.82727932449545	-999	PT	L	strip	-63.263	-58.4211	4.40045
PT4	-69.6527	-47.2099	-9.76431767169153	-999	PT	L	strip	-63.5268	-51.0928	-1.83952
PT5	-70.9466	-37.2695	-15.9453142102317	-999	PT	L	strip	-63.8247	-42.6416	-8.81422
PT6	-66.5287	-31.905	-27.0543308779879	-999	PT	L	strip	-62.917	-34.049	-13.7988
MAF1	-42.7668	42.3894	32.2772426649941	-999	MAF	L	strip	-39.4755	43.227	25.4947
MAF2	-42.5982	33.221	40.2832171468023	-999	MAF	L	strip	-40.1254	35.7966	33.3616
MAF3	-43.1563	24.726	47.4787215487544	-999	MAF	L	strip	-41.1341	29.1908	42.5476
MAF4	-44.4134	16.3789	52.4606338358285	-999	MAF	L	strip	-41.8722	21.9114	49.3119
MAF5	-43.1928	9.86962	56.1042403864741	-999	MAF	L	strip	-41.6627	13.6424	55.8065
MAF6	-44.4794	-2.88077	60.5296032802267	-999	MAF	L	strip	-39.1173	4.01188	60.6872
MAF7	-41.6742	-13.5781	65.7074967609088	-999	MAF	L	strip	-36.2741	-5.81142	63.2278
MAF8	-35.7898	-22.5896	71.6410714623601	-999	MAF	L	strip	-32.0431	-16.0065	64.4243
LAF1	-51.3426	24.1452	38.4048800022381	-999	LAF	L	strip	-52.9246	25.8568	30.6436
LAF2	-51.1717	14.3906	44.6863208547355	-999	LAF	L	strip	-54.0757	18.4403	38.5638
LAF3	-50.9141	8.58322	48.3444393715689	-999	LAF	L	strip	-52.2203	10.9399	46.1639
LAF4	-51.9201	-1.70565	53.6171322491064	-999	LAF	L	strip	-51.0086	2.64293	52.5518
LAF5	-48.5782	-10.2439	58.5251454374425	-999	LAF	L	strip	-46.3774	-5.60112	57.4636
AT6	-55.4609	19.6704	-25.2393491970586	-999	AT	L	strip	-52.4916	12.8808	-20.9695
LAF7	-38.4035	-30.3947	69.1630700311971	-999	LAF	L	strip	-36.96	-23.0927	63.6815
LAF8	-34.4081	-41.4834	69.3527526106365	-999	LAF	L	strip	-30.6703	-32.3822	64.8275
LF1	-60.2801	11.9774	31.1085629414439	-999	LF	L	strip	-58.3025	17.4513	25.1644
LF2	-59.8758	10.0138	36.8686574000372	-999	LF	L	strip	-58.8982	10.9825	33.1945
LF3	-56.0115	4.20008	45.0535728139608	-999	LF	L	strip	-57.4015	4.30675	42.1136
LF4	-58.3342	-5.75889	46.7975399870332	-999	LF	L	strip	-55.1333	-3.05664	48.5578
LF5	-55.6389	-17.0998	51.7065876653159	-999	LF	L	strip	-51.3619	-10.4621	54.8418
LF6	-47.5106	-21.2214	61.5722469880719	-999	LF	L	strip	-46.7579	-19.187	59.6721
PF1	-68.9257	-22.1805	14.7868308521355	-999	PF	L	strip	-68.6346	-27.0817	14.9928
PF2	-69.465	-25.9001	25.5431099214297	-999	PF	L	strip	-67.5906	-25.7068	26.5072
PF3	-66.6962	-19.9693	31.8956362386223	-999	PF	L	strip	-65.6595	-24.6896	36.7309
PF4	-62.3282	-24.8468	44.933025953158	-999	PF	L	strip	-60.6612	-24.3882	47.6554
PF5	-55.5575	-30.491	54.4503712050498	-999	PF	L	strip	-53.0293	-25.6411	54.6259
PF6	-47.6342	-35.038	62.1390600847674	-999	PF	L	strip	-44.0911	-28.7083	60.0077
LP1	-45.0924	-81.422	28.7454178176938	-999	LP	L	strip	-53.2475	-74.9348	28.9363
LP2	-53.9475	-65.6316	34.8088010526689	-999	LP	L	strip	-54.2276	-68.7235	38.0906
LP3	-55.5956	-60.5264	40.9112597630522	-999	LP	L	strip	-53.2036	-62.5684	47.0314
LP4	-50.4037	-56.6556	51.5095562928381	-999	LP	L	strip	-52.2743	-54.6687	54.0117
LP5	-47.4808	-45.5686	57.6238317634042	-999	LP	L	strip	-46.9574	-45.6315	58.4698
LP6	-41.2754	-47.9289	64.5749933603032	-999	LP	L	strip	-43.1708	-37.0331	63.0064
PP1	-16.3798	-89.6636	40.6880349164325	-999	PP	L	strip	-19.9935	-87.3541	45.001
PP2	-22.8313	-82.9389	47.1695614435739	-999	PP	L	strip	-24.7185	-80.1111	51.3029
PP3	-26.2639	-75.9208	56.3119910319458	-999	PP	L	strip	-28.414	-72.4153	57.5794
PP4	-31.4564	-67.0242	62.4801395479413	-999	PP	L	strip	-30.6131	-63.168	62.838
PP5	-35.0697	-58.1375	67.1573707721628	-999	PP	L	strip	-32.433	-52.6713	66.0013
PP6	-36.5151	-51.9809	68.5798279696098	-999	PP	L	strip	-32.8379	-42.0655	67.902
LAIH1	2.07023	-7.51113	39.4566795897896	-999	LAIH	R	strip	2.16338	-2.20905	31.5049
LAIH2	1.43438	-16.204	46.3846560260611	-999	LAIH	R	strip	1.71006	-7.86723	40.8005
LAIH3	1.7093	-23.328	54.2747157917369	-999	LAIH	R	strip	1.1143	-14.336	48.8306
LAIH4	2.26537	-29.6035	60.6322685965905	-999	LAIH	R	strip	-0.984649	-20.7628	57.0206
LMIH1	0.156048	-13.8065	28.696657637386	-999	LMIH	R	strip	1.51225	-6.89398	26.1979
LMIH2	0.994317	-21.8577	36.3100923535239	-999	LMIH	R	strip	1.91864	-13.3908	34.1212
LMIH3	2.58561	-28.6845	48.702776452625	-999	LMIH	R	strip	1.41101	-20.0105	43.2536
LMIH4	2.00926	-34.3648	58.4113740229599	-999	LMIH	R	strip	-0.0987459	-26.6024	52.493
LMIH5	2.24604	-37.0617	66.2666623284201	-999	LMIH	R	strip	-3.23366	-31.8886	59.8503
LMIH6	-1.29667	-43.1849	73.7433397027084	-999	LMIH	L	strip	-10.35	-36.5819	67.7163
LPIH1	0.512661	-64.7807	41.8920825722014	-999	LPIH	R	strip	-2.22964	-60.9185	44.417
LPIH2	0.461783	-57.0795	54.1097753713834	-999	LPIH	R	strip	-2.79686	-54.5704	52.4155
LPIH3	0.473299	-49.7302	64.9354759337308	-999	LPIH	R	strip	-3.78371	-46.7657	60.7117
