name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LAMD1-LAMD2	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD2-LAMD3	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD3-LAMD4	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD4-LAMD5	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD5-LAMD6	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD6-LAMD7	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD7-LAMD8	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD8-LAMD9	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAMD9-LAMD10	SEEG	V	n/a	n/a	bipolar	LAMD	1000	depth	n/a
LAHD1-LAHD2	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD2-LAHD3	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD3-LAHD4	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD4-LAHD5	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD5-LAHD6	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD6-LAHD7	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD7-LAHD8	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD8-LAHD9	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LAHD9-LAHD10	SEEG	V	n/a	n/a	bipolar	LAHD	1000	depth	n/a
LPHD1-LPHD2	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD2-LPHD3	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD3-LPHD4	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD4-LPHD5	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD5-LPHD6	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD6-LPHD7	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD7-LPHD8	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD8-LPHD9	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LPHD9-LPHD10	SEEG	V	n/a	n/a	bipolar	LPHD	1000	depth	n/a
LTID1-LTID2	SEEG	V	n/a	n/a	bipolar	LTID	1000	depth	n/a
LTID2-LTID3	SEEG	V	n/a	n/a	bipolar	LTID	1000	depth	n/a
