name	x	y	z	size	group	hemisphere	type
RF1	24.154	69.6363	-26.2128	-999	RF	R	strip
RF2	33.9303	65.8697	-22.7965	-999	RF	R	strip
RF3	42.9601	61.1337	-19.104	-999	RF	R	strip
RF4	50.5727	54.7002	-13.8433	-999	RF	R	strip
RF5	55.2347	48.3798	-7.32523	-999	RF	R	strip
RF6	59.0718	40.5733	-0.249891	-999	RF	R	strip
RF7	60.319	31.8133	6.55242	-999	RF	R	strip
RF8	60.4655	23.7356	13.2695	-999	RF	R	strip
ROF1	37.5149	10.5894	-47.9651	-999	ROF	R	strip
ROF2	48.3079	13.3556	-45.0524	-999	ROF	R	strip
ROF3	57.0879	13.9379	-38.2638	-999	ROF	R	strip
ROF4	62.3248	14.4294	-29.0525	-999	ROF	R	strip
ROF5	64.8899	13.1404	-19.2428	-999	ROF	R	strip
ROF6	66.3516	12.2512	-8.37126	-999	ROF	R	strip
ROF7	66.1697	8.94713	1.16058	-999	ROF	R	strip
ROF8	64.8843	6.08492	12.5939	-999	ROF	R	strip
RPF1	56.547	-33.1906	58.4034	-999	RPF	R	strip
RPF2	60.3233	-23.5244	53.3515	-999	RPF	R	strip
RPF3	60.4088	-14.1528	47.4753	-999	RPF	R	strip
RPF4	60.1837	-6.59887	40.8943	-999	RPF	R	strip
RO1	34.8062	-93.9961	-14.9983	-999	RO	R	strip
RO2	43.8245	-91.5581	-9.73185	-999	RO	R	strip
RO3	49.6106	-87.3967	-1.40684	-999	RO	R	strip
RO4	54.4531	-81.4922	6.8222	-999	RO	R	strip
RO5	58.0413	-75.648	14.5382	-999	RO	R	strip
RO6	61.8616	-68.5098	23.0953	-999	RO	R	strip
RO7	62.0699	-61.1424	30.6922	-999	RO	R	strip
RO8	62.5921	-51.6799	37.7445	-999	RO	R	strip
RTP1	48.701	-57.9218	-22.1517	-999	RTP	R	strip
RTP2	60.2519	-61.3601	-21.0891	-999	RTP	R	strip
RTP3	67.1066	-61.5891	-13.9782	-999	RTP	R	strip
