name	x	y	z	size	group	hemisphere	type
LPST1	-49.8699	-12.1192	-39.4096813278967	-999	LPST	L	strip
LPST2	-39.7898	-9.59152	-43.9916313730111	-999	LPST	L	strip
LPST3	-27.338	-5.51745	-43.6753928691924	-999	LPST	L	strip
LPST4	-23.2251	-0.546942	-42.3343513196251	-999	LPST	L	strip
LAST1	-23.8519	3.64162	-44.3287781383668	-999	LAST	L	strip
LAST2	-32.22	-2.69299	-49.1775735543165	-999	LAST	L	strip
LAST3	-42.7849	-4.63753	-48.8412143305023	-999	LAST	L	strip
LAST4	-49.6585	-8.48679	-40.915899898322	-999	LAST	L	strip
LPLT1	-64.1576	-23.7993	-27.437635054856	-999	LPLT	L	strip
LPLT2	-65.8767	-33.1213	-26.4063632439882	-999	LPLT	L	strip
LPLT3	-65.3604	-42.2832	-23.2426475609249	-999	LPLT	L	strip
LPLT4	-62.1721	-53.5729	-17.9487291981777	-999	LPLT	L	strip
LPLT5	-54.7743	-65.0536	-15.530675580781	-999	LPLT	L	strip
LPLT6	-50.43	-74.7579	-10.9937802754961	-999	LPLT	L	strip
LAHD1	-20.5969	-11.7664	-19.379067204445	-999	LAHD	L	depth
LAHD2	-26.9597	-11.7966	-21.269593545454	-999	LAHD	L	depth
LAHD3	-33.0068	-10.2908	-23.9408642624618	-999	LAHD	L	depth
LAHD4	-40.2394	-10.601	-25.5264650678073	-999	LAHD	L	depth
LPHD1	-21.5613	-20.3267	-15.8225297022043	-999	LPHD	L	depth
LPHD2	-26.2727	-18.845	-17.1718564628222	-999	LPHD	L	depth
LPHD3	-33.1767	-17.7992	-19.2258659853929	-999	LPHD	L	depth
LPHD4	-40.6074	-16.4341	-22.0943766308768	-999	LPHD	L	depth
LPID1	-48.3032	-18.8024	-7.90742339364999	-999	LPID	L	depth
LPID2	-46.6543	-16.4315	-4.77470056306607	-999	LPID	L	depth
LPID3	-44.7959	-14.2609	-1.75061939794825	-999	LPID	L	depth
LPID4	-43.4327	-10.8275	3.10129111301078	-999	LPID	L	depth
LPID5	-41.7893	-8.71824	5.82617383235813	-999	LPID	L	depth
LPID6	-37.5747	-5.73835	9.4055510281023	-999	LPID	L	depth
LPID7	-36.0942	-4.21258	11.3968914823223	-999	LPID	L	depth
