onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	experiment	session	subject
0.0	0.0	55701	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	PAL1	0	R1238N
0.0	184.909	55701	MIC_TEST	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	PAL1	0	R1238N
184.909	17.682	240606	PRACTICE_TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
202.591	0.006	258288	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
202.597	0.267	258294	PRACTICE_ORIENT	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
202.864	0.65	258561	PRACTICE_ORIENT_OFF	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
203.514	4.017	259211	PRACTICE_PAIR	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
207.531	1.017	263228	PRACTICE_PAIR_OFF	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
208.548	0.266	264245	PRACTICE_ORIENT	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
208.814	0.649	264511	PRACTICE_ORIENT_OFF	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
209.463	4.018	265160	PRACTICE_PAIR	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
213.481	1.018	269178	PRACTICE_PAIR_OFF	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
214.499	0.266	270196	PRACTICE_ORIENT	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
214.765	0.633	270462	PRACTICE_ORIENT_OFF	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
215.398	4.017	271095	PRACTICE_PAIR	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
219.415	1.0	275112	PRACTICE_PAIR_OFF	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
220.415	0.0	276111	ENCODING_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
220.415	80.262	276111	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
300.677	0.0	356372	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
300.677	0.017	356372	RECALL_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
300.694	0.266	356389	PRACTICE_RETRIEVAL_ORIENT	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
300.96	0.75	356655	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
301.71	0.001	357405	PRACTICE_PROBE	n/a	3	1	ANILLO	n/a	ANILLO	VAGON	-1	PAL1	0	R1238N
301.711	4.017	357406	REC_START	n/a	3	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
305.728	0.753	361423	PROBE_OFF	n/a	3	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
306.481	0.247	362176	REC_EVENT	4770	3	1	ANILLO	<>	ANILLO	VAGON	-1	PAL1	0	R1238N
306.728	0.016	362423	REC_END	n/a	3	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
306.744	0.267	362439	PRACTICE_RETRIEVAL_ORIENT	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
307.011	0.55	362706	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
307.561	0.001	363256	PRACTICE_PROBE	n/a	2	2	LENGUA	n/a	LENGUA	HIERRO	-1	PAL1	0	R1238N
307.562	4.016	363257	REC_START	n/a	2	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
311.578	0.883	367273	PROBE_OFF	n/a	2	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
312.461	0.117	368156	REC_EVENT	4899	2	2	LENGUA	<>	LENGUA	HIERRO	-1	PAL1	0	R1238N
312.578	0.017	368273	REC_END	n/a	2	-999	n/a	n/a	n/a	n/a	-1	PAL1	0	R1238N
312.595	0.267	368290	PRACTICE_RETRIEVAL_ORIENT	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
312.862	0.616	368557	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
313.478	0.0	369173	PRACTICE_PROBE	n/a	1	3	ATICO	ATTICO	RINOCERONTE	ATICO	-1	PAL1	0	R1238N
313.478	2.724	369173	REC_START	n/a	1	-999	n/a	ATTICO	n/a	n/a	-1	PAL1	0	R1238N
